"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.313604923E0,-1.032999992E0,1.042000055E0,1.209300041E1,1.218168757E1
1.319395616E0,-8.519999981E-1,1.233000040E0,1.112600040E1,1.122649002E1
1.323456923E0,-8.240000010E-1,1.279000044E0,1.081400013E1,1.092050438E1
1.328703539E0,-8.360000253E-1,1.355000019E0,1.026900005E1,1.039169299E1
1.334349154E0,-9.089999795E-1,1.409000039E0,9.852999687E0,9.994656818E0
1.338419154E0,-1.024999976E0,1.422999978E0,9.597999573E0,9.756902669E0
1.344291539E0,-1.126999974E0,1.391999960E0,9.510000229E0,9.677184362E0
1.351213539E0,-1.175999999E0,1.300999999E0,9.689999580E0,9.847419401E0
1.357087616E0,-1.149999976E0,1.266000032E0,9.951000214E0,1.009691345E1
1.360603462E0,-1.101999998E0,1.264000058E0,1.023299980E1,1.036949300E1
1.363422462E0,-1.087000012E0,1.261999965E0,1.036999989E1,1.050290962E1
1.368433923E0,-1.059999943E0,1.253000021E0,1.059399986E1,1.072037509E1
1.373527077E0,-1.067000031E0,1.228000045E0,1.071599960E1,1.083877856E1
1.378751385E0,-1.075999975E0,1.200000048E0,1.072900009E1,1.084938796E1
1.383464000E0,-1.034999967E0,1.190999985E0,1.063899994E1,1.075537194E1
1.388600231E0,-9.399999976E-1,1.213000059E0,1.043599987E1,1.054822556E1
1.393455000E0,-8.320000172E-1,1.261999965E0,1.016600037E1,1.027776393E1
1.398440539E0,-7.200000286E-1,1.309999943E0,9.859000206E0,9.971679144E0
1.403414769E0,-6.029999852E-1,1.350999951E0,9.531000137E0,9.645142480E0
1.409963846E0,-5.019999743E-1,1.402999997E0,9.203000069E0,9.322854886E0
1.413385308E0,-4.399999976E-1,1.472000003E0,8.871999741E0,9.004041504E0
1.418427154E0,-4.289999902E-1,1.546000004E0,8.565999985E0,8.714959136E0
1.423457385E0,-4.600000083E-1,1.598000050E0,8.324000359E0,8.488473722E0
1.428448692E0,-4.810000062E-1,1.616000056E0,8.227000237E0,8.397996790E0
1.436370077E0,-5.210000277E-1,1.703999996E0,7.886000156E0,8.084803985E0
1.438400154E0,-5.210000277E-1,1.703999996E0,7.886000156E0,8.084803985E0
1.443465923E0,-5.299999714E-1,1.745000005E0,7.791999817E0,8.002573719E0
1.448390616E0,-5.600000024E-1,1.792999983E0,7.750999928E0,7.975365121E0
1.453441769E0,-5.970000029E-1,1.865000010E0,7.712999821E0,7.957700690E0
1.458475692E0,-6.499999762E-1,1.922000051E0,7.662000179E0,7.926085472E0
1.463872769E0,-7.200000286E-1,1.937999964E0,7.585999966E0,7.862673806E0
1.468446692E0,-7.639999986E-1,1.957999945E0,7.473000050E0,7.762936913E0
1.473741846E0,-7.730000019E-1,2.002000093E0,7.343999863E0,7.651135037E0
1.478390846E0,-7.739999890E-1,2.059999943E0,7.223000050E0,7.550788400E0
1.483429462E0,-7.739999890E-1,2.118000031E0,7.098999977E0,7.448543535E0
1.488594846E0,-7.820000052E-1,2.170000076E0,6.980999947E0,7.352195903E0
1.493473077E0,-8.220000267E-1,2.206000090E0,6.896999836E0,7.287710695E0
1.498424077E0,-8.690000176E-1,2.240999937E0,6.844999790E0,7.254740786E0
1.503428692E0,-8.939999938E-1,2.273000002E0,6.814000130E0,7.238533192E0
1.508618231E0,-9.020000100E-1,2.299999952E0,6.793000221E0,7.228309332E0
